no,과제번호,과제명,담당부서,전화번호,PDF_페이지
12,공통,반도체 특성화대학 지원사업,반도체바이오과,032-440-4297,181
13,공통,미래우주교육센터 구축,항공과,032-440-4809,184
14,2--인천-1,항공정비 청년일자리 맞춤지원,항공과,032-440-4809,187
15,3--인천-1,(재)인천인재평생교육진흥원 장학사업지원,교육협력담당관,032-440-2192,189
16,3--인천-2,청년 인재육성 사업,교육협력담당관,032-440-2192,191
17,3--인천-1,대학생 학자금대출 이자 지원,교육협력담당관,032-440-2162,193
1,1--인천-1,아이플러스 집드림_천원주택,주택정책과,032-440-4757,200
2,1--인천-2,검단신도시 워라밸빌리지 특화구역 청년주거단지 조성,인천도시공사,032-260-5705,203
3,공통,기존주택 매입 청년 임대사업,주택정책과,032-440-4758,206
4,공통,청년층 임대주택 공급 확대 (통합공공임대주택),주택정책과,032-440-4757,210
5,공통,인천글로벌캠퍼스 학생기숙사 증축사업,경제자유구역청 도시건축과,032-453-7874,214
6,공통,인천형 청년월세 지원사업,청년정책담당관,032-440-2888,218
7,2--인천-1,아이플러스 집드림_1.0 이자지원,주택정책과,032-440-4759,222
8,2--인천-2,청년 주택임차보증금 이자 지원사업,청년정책담당관,032-440-2889,225
9,공통,전세보증금반환보증 보증료 지원사업,주택정책과,032-440-4743,228
10,3--인천-1,인품 자립주택 운영,아동정책과,032-440-2882,232
11,3--인천-2,천원 복(福)비 주택 중개보수 지원사업,토지정보과,032-440-4587,235
1,1--인천-1,재직청년을 위한 '드림For청년통장',청년정책담당관,032-440-2887,241
2,1--인천-2,청년 발달장애인 자산형성 지원사업,장애인복지과,032-440-2968,244
3,공통,청년내일저축계좌,복지정책과,032-440-1544,247
4,1--인천-1,청년 재정 UP 클래스,청년정책담당관,032-440-2906,250
5,공통,가족돌봄청년 지원,외로움정책과,032-440-8094,253
6,공통,고립‧은둔 청년 지원,외로움정책과,032-440-8094,256
7,공통,자립준비청년 자립수당 지급,아동정책과,032-440-2884,259
8,공통,자립지원전담기관 운영,아동정책과,032-440-2882,263
9,2--인천-1,자립준비청년 자립정착금 지원,아동정책과,032-440-2884,266
10,2--인천-2,희망디딤돌 인천센터 운영,아동정책과,032-440-2882,269
11,공통,청년 사회서비스 사업단 운영,복지정책과,032-440-1545,272
12,공통,청년마음건강센터 운영,건강증진과,032-440-1583,275
13,공통,청년중독관리사업,건강증진과,032-440-1583,278
14,3--인천-1,인천형 천원의 아침밥 지원,농축산과,032-440-4363,281
15,4--인천-1,청년문화창작소 운영,문화정책과,032-440-4014,285
16,4--인천-2,청년문화 활성화 사업,문화정책과,032-440-4014,289
17,공통,청년 문화예술패스,문화정책과,032-440-4014,292
18,4--인천-1,군복무 인천청년 상해보험 지원,청년정책담당관,032-440-2888,295
19,4--인천-2,미혼남녀 만남 지원(i+이어드림),인구전략기획과,032-440-2808,299
20,4--인천-3,인천형 작은 결혼식 지원(i+맺어드림),인구전략기획과,032-440-4932,303
21,공통,인천형 대중교통비 환급 지원 사업(인천 i-패스),교통정책과,032-440-3887,306
1,1--인천-1,청년참여 위원회 확대,청년정책담당관,032-440-4172,310
2,1--인천-2,인천청년정책네트워크 구성운영,청년정책담당관,032-440-4173,314
3,1--인천-1,청년의 날 및 청년주간 운영,청년정책담당관,032-440-2887,317
4,1--인천-2,찾아가는 인천유스톡톡,청년정책담당관,032-440-2906,320
5,1--인천-3,에코 크리에이터즈 운영,자원순환과,032-440-3585,323
6,1--인천-4,인천 대학예술로 소통 페스티벌,시민소통담당관,032-440-2183,326
7,1--인천-5,인천 청년정책 공모전,청년정책담당관,032-440-4173,329
8,2--인천-1,인천 청년공간 유유기지 운영,청년정책담당관,032-440-2906,333
9,2--인천-2,인천유스톡톡 인천청년포털,청년정책담당관,032-440-2889,336
10,2--인천-1,청년재단 설립 및 청년기금 조성 타당성 연구,청년정책담당관,032-440-4172,338
