"stable_policy_id","version","strategic_industry","policy_name","status","owner_department","executor","target","problem","intervention","industry","occupation","skill","geography","application_period","delivery_period","budget","budget_source","kpi","reported_result","upstream_policy","downstream_policy","source_url","evidence_status"
"IC-BIO-015","2026-08-13","바이오","인천 바이오 소부장 제조기반 경쟁력 강화 기술개발","종료","UNKNOWN","UNKNOWN","인천 관내 바이오기업 + 소부장 기업","바이오 원부자재 수입의존, 역내 공급망 부재","수요발굴 → 과제선정 → 시작품/공정고도화 R&D","바이오 소부장","해당없음","해당없음","인천","종료","종료(보고서 발간)","UNKNOWN","UNKNOWN","UNKNOWN","신청 10건 → 4건 선정, 연속반응유동기·분말배지 개발","UNKNOWN","IC-BIO-004(연계 미확인)","https://scienceon.kisti.re.kr/srch/selectPORSrchReport.do?cn=TRKO202500010493","PRIMARY_VERIFIED"
"IC-BIO-016","2026-08-13","바이오","2026 바이오 차이나(BIO CHINA) 등 글로벌 박람회 참가 지원","계획","인천광역시","UNKNOWN","인천 바이오기업, 해외 스타트업","해외 네트워크 부족","박람회 참가 + 스타트업 유치","바이오","해당없음","해당없음","중국(개최지)","UNKNOWN","2026-03","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","IC-BIO-004","UNKNOWN","https://www.tookyung.com/news/articleView.html?idxno=702069","SECONDARY_PRESS_ONLY"
"IC-BIO-017","2026-08-13","바이오","바이오 첨단클러스터 조성(영종구)","계획","인천시/영종구","UNKNOWN","UNKNOWN","영종 지역 미래·첨단산업 확장 필요","클러스터 조성","바이오","해당없음","해당없음","영종구(2026-07 신설)","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","해당없음","인천형 행정체제 개편 구정방향","UNKNOWN","https://www.incheon.go.kr/IC01070101","SECONDARY_PRESS_ONLY"
"IC-BIO-018","2026-08-13","바이오","송도 세브란스병원 개원","계획","연세대의료원(민간)","연세대의료원","해당없음","산·학·연·병 클러스터의 병(病) 축 부재","병원 개원","바이오·의료","의료인력","해당없음","연수구 송도","해당없음","2026 개원 예정","UNKNOWN","민간","UNKNOWN","해당없음","UNKNOWN","UNKNOWN","http://knibrt.com/education/edu0402.php","SECONDARY_PRESS_ONLY"
"IC-SEM-001","2026-08-13","반도체","시스템반도체 기술협력 체계 구축(한국생산기술연구원 협력)","운영","인천시 반도체바이오과","한국생산기술연구원, 인천테크노파크","대기업 수요기술 개발 중소기업","후공정(OSAT) 소부장 경쟁력 부족, 대-중소 기술수요 미연결","대-중소 상생 기술개발 협력체계","시스템반도체 후공정","해당없음","첨단 패키징","인천","UNKNOWN","2026","27억원","시비(추정)","UNKNOWN","해당없음(당해 착수)","인천 6대 전략산업","UNKNOWN","https://news.nate.com/view/20260311n24470","SECONDARY_PRESS_ONLY"
"IC-SEM-002","2026-08-13","반도체","레전드 50+ 2.0 프로젝트","운영","인천시 반도체바이오과","UNKNOWN","반도체 후공정 후방산업 유망기업 27개사","후공정 후방산업 성장 정체","3년간 성장단계별 맞춤형 패키지 지원","반도체 후공정","해당없음","해당없음","인천","UNKNOWN","2026~3년간","3억원","시비(추정)","유망기업 27개사 육성","해당없음","레전드 50+ 1.0(선행사업, 미확인)","UNKNOWN","https://news.nate.com/view/20260311n24470","SECONDARY_PRESS_ONLY"
"IC-SEM-003","2026-08-13","반도체","인하대 반도체 패키징 대학중점연구소 거점 R&D 대응체계","운영","교육부/과기정통부(대학중점연구소)","인하대학교, 인천TP 산·학·연 컨소시엄","연구자 및 기업","고부가 패키징 핵심기술 선점 필요","정부 R&D 과제 대응체계 구축","시스템반도체","연구인력","첨단 패키징","미추홀구 인하대","UNKNOWN","UNKNOWN","UNKNOWN","국비","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://news.nate.com/view/20260311n24470","SECONDARY_PRESS_ONLY"
"IC-SEM-004","2026-08-13","반도체","반도체 설계(팹리스) 기업 발굴·육성","계획","인천시 반도체바이오과","UNKNOWN","팹리스 기업","인천 산업의 약점으로 지적된 설계 분야 공백","기업 발굴 및 육성(수단 미상세)","시스템반도체 설계","설계 인력","팹리스 설계","인천","UNKNOWN","2026~","UNKNOWN","UNKNOWN","설계-제조-패키징 밸류체인 완성","해당없음","UNKNOWN","UNKNOWN","https://www.tookyung.com/news/articleView.html?idxno=702069","SECONDARY_PRESS_ONLY"
"IC-SEM-005","2026-08-13","반도체","반도체바이오과 세출예산(총괄)","운영","인천시 미래산업국 반도체바이오과","해당없음","해당없음","해당없음","해당없음","반도체+바이오","해당없음","해당없음","인천","해당없음","2026회계연도","157억 9,807만 6,000원(전년比 2.7% 증가)","시비","해당없음","해당없음","UNKNOWN","UNKNOWN","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","PRIMARY_VERIFIED"
"IC-SEM-006","2026-08-13","반도체","산업입지과 세출예산(산단 관련)","운영","인천시 산업입지과","해당없음","해당없음","해당없음","해당없음","산업입지 전반","해당없음","해당없음","인천","해당없음","2026회계연도","144억 3,514만 3,000원(전년比 25% 감소)","시비","해당없음","해당없음","UNKNOWN","UNKNOWN","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","PRIMARY_VERIFIED"
"IC-SEM-007","2026-08-13","반도체","첨단 패키징 R&D 강화","계획","인천시","UNKNOWN","반도체 후공정 기업","시스템반도체 수출 1위 지위 유지 필요","첨단 패키징 중심 R&D 지원","시스템반도체","해당없음","첨단 패키징","인천","UNKNOWN","2026","UNKNOWN","UNKNOWN","UNKNOWN","해당없음","UNKNOWN","UNKNOWN","https://news.nate.com/view/20260311n24470","SECONDARY_PRESS_ONLY"
"IC-ROB-001","2026-08-13","로봇","인천 로봇랜드 조성사업","운영","산업통상자원부/인천시","인천도시공사(iH), 인천로봇랜드","로봇 관련 기업·연구기관·대학","로봇산업 집적 기반 부재","산업용·서비스·지능형 로봇 통합 클러스터 구축","로봇","해당없음","해당없음","서해구 청라(2026-07 개편 전 서구)","UNKNOWN","기반시설 2027년 말 준공 예정","UNKNOWN","국비+시비+민간","UNKNOWN","전체 76만9,281㎡ 중 29만7,000㎡ 도시첨단산업단지 지정(2025-12)","UNKNOWN","IC-ROB-002","https://www.incheonilbo.com/news/articleView.html?idxno=1327572 | https://www.robotland.or.kr/investment/","SECONDARY_PRESS_ONLY"
"IC-ROB-002","2026-08-13","로봇","로봇랜드 산업단지 분양 및 기업유치","계획","인천시","인천도시공사(iH)","로봇 관련 입주기업","산업단지 기업 유치 여건 미흡","산단계획 변경 → 기업설명회 → 분양공고, 취득세 감면 등 세제혜택","로봇","해당없음","해당없음","서해구 청라","2026-12 첫 분양공고 예정","2026-10 국토부 제출 → 11월 설명회 → 12월 공고","UNKNOWN","UNKNOWN","UNKNOWN","해당없음","IC-ROB-001","UNKNOWN","https://www.incheonilbo.com/news/articleView.html?idxno=1327572","SECONDARY_PRESS_ONLY"
"IC-ROB-003","2026-08-13","로봇","인천로봇랜드 피지컬 AI 거점 육성","계획","인천시(시장 100대 시정과제)","UNKNOWN","로봇·AI 기업","기존 로봇랜드의 산업적 성과 미흡","피지컬 AI 거점화(수단 미상세)","로봇+AI","해당없음","해당없음","서해구 청라","UNKNOWN","2026~","UNKNOWN","UNKNOWN","UNKNOWN","해당없음","IC-ROB-001","UNKNOWN","https://www.incheonilbo.com/news/articleView.html?idxno=1327572","SECONDARY_PRESS_ONLY"
"IC-ROB-004","2026-08-13","로봇","2026년 로봇산업 혁신성장 지원사업","모집","UNKNOWN","인천테크노파크","인천 중소·중견기업","제조현장 로봇 도입 비용 부담","공정설계·설치·교육 등 현장적용 비용 70% 이내 지원","로봇 활용 제조","해당없음","해당없음","인천","2026","UNKNOWN","기업당 최대 5,000만원","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.govmatch.kr/announcements/84962","SECONDARY_PRESS_ONLY"
"IC-ROB-005","2026-08-13","로봇","로보컵 2026 인천 개최","운영","인천시","UNKNOWN","국내외 로봇 연구자·기업·관람객","로봇산업 저변 및 국제 인지도 부족","국제대회 개최(로봇축구, 서비스로봇, 산업자동화, 재난구조), 학술행사·기업전시","로봇+AI","해당없음","해당없음","연수구 송도컨벤시아","해당없음","2026-07-01 ~ 07-06","UNKNOWN","UNKNOWN","45개국 약 1만5,000명 방문 예상","개최 완료(성과 미발표)","UNKNOWN","UNKNOWN","https://www.newsfreezone.co.kr/news/articleView.html?idxno=679121","SECONDARY_PRESS_ONLY"
"IC-ROB-006","2026-08-13","로봇","인하대·인천대 AI·휴머노이드 기술개발 지원","운영","인천시","인하대학교, 인천대학교","대학 연구팀","로보컵 대응 및 지역 로봇 인재 부족","AI·휴머노이드 기술개발 지원","로봇+AI","연구인력","휴머노이드, AI","인천","UNKNOWN","2025~","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","IC-ROB-005","https://www.newsfreezone.co.kr/news/articleView.html?idxno=679121","SECONDARY_PRESS_ONLY"
"IC-ROB-007","2026-08-13","로봇","인천 로봇산업 혁신 클러스터(로봇 기반 산업혁신 플랫폼)","운영","UNKNOWN","인천도시공사","로봇 기업·창업·연구기관·대학","기관 간 공유·협력 부재","공유·협력 공간 조성, 물류·엔터테인먼트 특화 투자유치","로봇","해당없음","해당없음","서해구 청라","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","IC-ROB-001","UNKNOWN","https://www.ih.co.kr/main/land/landDetail.do?land_seq=74&landDiv=1160&amcDiv=2","PRIMARY_VERIFIED"
"IC-DIG-001","2026-08-13","디지털데이터","인천 양자클러스터 지정 추진 및 기업 기술개발·인력양성","운영","인천시 데이터산업과(과기정통부 지정 도전)","연세대 국제캠퍼스 등","양자기술 기업 및 연구인력","양자기술 산업거점 미확보","기업 기술개발 + 전문인력 양성, 연구 인프라 구축","양자기술","연구인력","양자","연수구 송도","UNKNOWN","2026~(지정 시 5년간)","2026년 약 19억9,300만원 투입 / 지정 시 5년간 최대 1,000억원 전망","국비+시비+민간","UNKNOWN","IBM 127큐비트 도입 추진, D-Wave 협력체계 구축","UNKNOWN","IC-BIO-009","https://www.newsfreezone.co.kr/news/articleView.html?idxno=680061","SECONDARY_PRESS_ONLY"
"IC-DIG-002","2026-08-13","디지털데이터","인천시 양자산업 발전전략 수립 및 클러스터 조성 연구용역","운영","인천시 디지털산업과","UNKNOWN","해당없음","양자산업 전략 부재","연구용역","양자기술","해당없음","해당없음","인천","해당없음","계약일정에 따라 명시이월","UNKNOWN","시비","해당없음","명시이월(집행 지연)","UNKNOWN","IC-DIG-001","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","PRIMARY_VERIFIED"
"IC-DIG-003","2026-08-13","디지털데이터","블록체인 허브도시 조성 5개년 계획","운영","인천경제자유구역청","UNKNOWN","블록체인 선도기업","디지털 경제 전환 대응 필요","실증 시범서비스 발굴(공유주차장, 플라스틱 수거·재활용 등), 선도기업 육성","블록체인","해당없음","해당없음","인천경제자유구역","UNKNOWN","2022~2026(5개년)","총사업비 133억원","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://m.boannews.com/html/detail.html?idx=117917","SECONDARY_PRESS_ONLY"
"IC-DIG-004","2026-08-13","디지털데이터","디지털 인재 양성","계획","인천시 데이터산업과","인천테크노파크","디지털·데이터 분야 인재","디지털·데이터 산업 성장을 위한 인재 부족","인재 양성(수단 미상세)","디지털·데이터","디지털 인재","UNKNOWN","인천","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","인천 전략산업육성 종합계획","UNKNOWN","https://www.kyeonggi.com/article/20231006580065","SECONDARY_PRESS_ONLY"
"IC-DIG-005","2026-08-13","디지털데이터","디지털산업과 세출예산(총괄)","운영","인천시 디지털산업과","해당없음","해당없음","해당없음","해당없음","디지털·데이터","해당없음","해당없음","인천","해당없음","2026회계연도","UNKNOWN","시비","해당없음","해당없음","UNKNOWN","UNKNOWN","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","UNVERIFIED"
"IC-DIG-006","2026-08-13","디지털데이터","인천시 빅데이터 통합 플랫폼 / 인천데이터포털 운영","운영","인천시 데이터산업과","UNKNOWN","시민 및 데이터 이용자","공공데이터 접근성 부족","데이터 개방 및 플랫폼 운영","디지털·데이터","해당없음","해당없음","인천","해당없음","계속","UNKNOWN","시비","UNKNOWN","공공데이터 목록 3,471건(2023-03 기준)","UNKNOWN","UNKNOWN","https://www.incheon.go.kr/data/DATA010201","PRIMARY_VERIFIED"
"IC-CAR-001","2026-08-13","미래차","부품기업 자율주행차 기술개발 지원","운영","인천시 산업정책과","인천테크노파크","인천 자동차부품 기업","내연기관 부품기업의 미래차 전환 필요","자율주행차 기술개발 지원","자동차부품","해당없음","자율주행","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","인천 전략산업육성 종합계획","UNKNOWN","https://www.kyeonggi.com/article/20231006580065","SECONDARY_PRESS_ONLY"
"IC-CAR-002","2026-08-13","미래차","미래차 산업육성 지원체계 구축","계획","인천시 산업정책과","인천테크노파크","미래차 관련 기업","미래차 산업 지원체계 부재","지원체계 구축(수단 미상세)","미래차","해당없음","해당없음","인천(청라·주안·부평 중심)","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.kyeonggi.com/article/20231006580065","SECONDARY_PRESS_ONLY"
"IC-CAR-003","2026-08-13","미래차","친환경자동차 보급 및 충전 인프라 구축","운영","인천시(환경 소관 추정)","UNKNOWN","시민 및 사업자","전기·수소차 보급 확대 필요","차량 보급 및 충전 인프라 구축","친환경차 보급","해당없음","해당없음","인천","UNKNOWN","2026회계연도","1,407억 4,954만원","시비+국비","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","PRIMARY_VERIFIED"
"IC-AIR-001","2026-08-13","항공","대한항공 영종 항공 MRO 클러스터 조성(민간투자 유치)","결정","인천시 산업입지심의회 / 인천경제자유구역청","대한항공(민간)","해당없음","국내 항공정비 해외 의존, 영종 산업기반 부족","영종항공 일반산업단지 5만692㎡ 우선분양, 엔진·부품 정비공장 건립","항공정비(MRO)","항공정비인력","엔진·부품 정비","영종구 운북동","해당없음","2026-05-20 원안가결 / 2026-08 토지매매계약 / 2029 착공 / 2031 준공","CONFLICTING: 부품수리공장 1,500억 vs 총 7,300억 vs 엔진정비공장 5,800억 별도","민간","운북지구 MRO 2,000명 이상 전문인력 상주 예정","2026-05-20 사업계획 원안가결","UNKNOWN","IC-AIR-002","https://biz.heraldcorp.com/article/10741457 | https://www.khan.co.kr/article/202605201125001","CONFLICTING_FIGURES"
"IC-AIR-002","2026-08-13","항공","대한항공 신엔진정비공장 건립","운영","해당없음(민간)","대한항공","해당없음","엔진 정비능력 확충","엔진 분해·수리·조립 전문시설","항공정비(MRO)","정비인력","엔진정비","영종구 운북동","해당없음","2026년 4분기 준공 예정","5,800억원","민간","엔진 정비대수 88대 → 2030년 502대(보도)","건립 중","IC-AIR-001","UNKNOWN","https://www.khan.co.kr/article/202605201125001","SECONDARY_PRESS_ONLY"
"IC-AIR-003","2026-08-13","항공","청년 항공정비(MRO) 특화교육","종료","인천시 중구(現 영종구·제물포구로 분리)","항공우주산학융합원(추정)","관내 미취업 청년","공항경제권 청년 일자리 부족","자격 취득 중심 교육","항공정비(MRO)","항공정비인력","항공정비 자격","영종구(구 중구)","2026 상반기","2026 상반기","UNKNOWN","구비(추정)","UNKNOWN","UNKNOWN","UNKNOWN","IC-AIR-004","https://news.ifm.kr/news/articleView.html?idxno=467022","SECONDARY_PRESS_ONLY"
"IC-AIR-004","2026-08-13","항공","항공정비(MRO) 인력양성과정 - 일경험 프로그램","운영","인천시 영종구","영종구, 항공우주산학융합원, 제주항공(정비기지 제공)","관내 미취업 청년 20명","자격 취득만으로는 취업 연계 부족","3주 90시간 이론+실무, 제주항공 정비기지 현장실습","항공정비(MRO)","항공정비인력","항공정비 실무","영종구","2026-06-15 ~ 2026-07-14 모집","2026-07-27 ~ 2026-08-14","UNKNOWN","구비(추정)","취업 연계","교육생 20명 선발·개강","IC-AIR-003","UNKNOWN","https://www.addnewsin.com/news/articleView.html?idxno=60745","SECONDARY_PRESS_ONLY"
"IC-AIR-005","2026-08-13","항공","드론 실증도시 구축사업","운영","국토교통부(공모)/인천시","UNKNOWN","드론 서비스 기업, 도서지역 주민","도서지역 물류 접근성 부족, 드론 상용화 실증 필요","드론 배송 상용화 및 공공안전 서비스 실증, 덕적도·대이작도 배송거점","드론","해당없음","해당없음","옹진군 도서지역","UNKNOWN","5년 연속 선정(2026 포함)","2026년 약 6억8,000만원","국비+시비","UNKNOWN","국토부 드론 실증도시 5년 연속 선정","UNKNOWN","UNKNOWN","https://www.newsfreezone.co.kr/news/articleView.html?idxno=680061","SECONDARY_PRESS_ONLY"
"IC-AIR-006","2026-08-13","항공","공항경제권 구축","계획","인천시/영종구","UNKNOWN","UNKNOWN","공항 인접 산업기반 취약","공항경제권 구축(수단 미상세)","항공","해당없음","해당없음","영종구","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","해당없음","인천형 행정체제 개편 구정방향","UNKNOWN","https://www.incheon.go.kr/IC01070101","SECONDARY_PRESS_ONLY"
"IC-AIR-007","2026-08-13","항공","항공정비산업(MRO) 생태계 구축","계획","인천시/영종구","UNKNOWN","항공정비 기업","MRO 앵커기업은 유치했으나 협력업체 생태계 미형성","생태계 구축(수단 미상세)","항공정비(MRO)","해당없음","해당없음","영종구","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","해당없음","IC-AIR-001","UNKNOWN","https://www.incheon.go.kr/IC01070101","SECONDARY_PRESS_ONLY"
"IC-AIR-008","2026-08-13","항공","대한항공 운항훈련센터","운영","해당없음(민간)","대한항공","운항승무원","운항승무원 훈련시설 필요","훈련시설 운영","항공운송","운항승무원","운항훈련","영종구 운북동","해당없음","2016 준공 ~ 운영중","UNKNOWN","민간","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","https://www.khan.co.kr/article/202605201125001","SECONDARY_PRESS_ONLY"
"IC-COM-001","2026-08-13","공통","인천 전략산업육성 종합계획(6대 전략산업 선정)","운영","인천시 산업정책과(총괄)","각 소관과 + 인천테크노파크","해당없음","기존 8대 전략산업의 산업 패러다임 부적합","8대 → 6대 전략산업 재편(바이오·반도체·로봇·디지털데이터·미래차·항공), 1년 단위 세부추진계획","6대 전략산업 전체","해당없음","해당없음","인천","해당없음","2023 수립 ~","UNKNOWN","시비","UNKNOWN","UNKNOWN","인천 미래 성장동력 8대 전략산업 육성방안(2015)","각 산업별 사업","https://www.incheonin.com/news/articleView.html?idxno=97695","SECONDARY_PRESS_ONLY"
"IC-COM-002","2026-08-13","공통","인천형 라이즈(i-RISE) 기본계획","운영","인천시(교육부 재원 이관)","인천테크노파크(전담기관) + 12개 대학","인천 소재 대학 재학생","전략산업 인력의 지역 정착 부족(기술인재 서울 유출)","4대 프로젝트 14개 단위과제(전략산업 인재양성, 지산학협력, 평생교육, 지역문제해결)","6대 전략산업 + 해양·물류","전략산업 미래인재","UNKNOWN","인천 12개 대학","연 2회 공모","2025~2029","1년차 총 214억(국비183+시비31)","국비+시비","UNKNOWN","2025 성과공유회 개최, 늘봄 1만5,000명 수혜(산업별 분리 성과 미확인)","교육부 RISE 체계","IC-COM-003","https://news.unn.net/news/articleView.html?idxno=590725","SECONDARY_PRESS_ONLY"
"IC-COM-003","2026-08-13","공통","2025년 인천형 라이즈 2차 공모 선정사업","결정","인천시 라이즈위원회","선정 9개교","인천 소재 대학","UNKNOWN","단위과제 6개 수행","산업별 확인 필요","UNKNOWN","UNKNOWN","인천","2025-11-18 ~ 2025-12-08(18건 접수)","2026-01~","총 37억원","국비+시비","UNKNOWN","해당없음(착수 전)","IC-COM-002","UNKNOWN","https://www.incheontoday.com/news/articleView.html?idxno=312821","SECONDARY_PRESS_ONLY"
