시행계획_과제명,부서명,담당부서,예산_세부사업명,final_status
청년마음건강센터 운영,,건강증진과,,NOT_PUBLICLY_VERIFIABLE
청년중독관리사업,건강증진과,건강증진과,청년중독관리사업,EXACT
인천형 천원의 아침밥 지원,농축산과,농축산과,인천형 천원의 아침밥 지원 사업,FUZZY
청년문화창작소 운영,문화정책과,문화정책과,인천청년문화창작소 운영,FUZZY
청년문화 활성화 사업,,문화정책과,,NOT_PUBLICLY_VERIFIABLE
청년 문화예술패스,문화정책과,문화정책과,청년 문화예술패스 지원,FUZZY
군복무 인천청년 상해보험 지원,청년정책담당관,청년정책담당관,군복무 인천청년 상해보험 지원,EXACT
미혼남녀 만남 지원(i+이어드림),,인구전략기획과,,NOT_PUBLICLY_VERIFIABLE
인천형 작은 결혼식 지원(i+맺어드림),,인구전략기획과,,NOT_PUBLICLY_VERIFIABLE
인천형 대중교통비 환급 지원 사업(인천 i-패스),,교통정책과,,NOT_PUBLICLY_VERIFIABLE
청년참여 위원회 확대,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
인천청년정책네트워크 구성운영,청년정책담당관,청년정책담당관,인천 청년정책네트워크 활성화 지원,FUZZY
청년의 날 및 청년주간 운영,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
찾아가는 인천유스톡톡,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
에코 크리에이터즈 운영,,자원순환과,,NOT_PUBLICLY_VERIFIABLE
인천 대학예술로 소통 페스티벌,,시민소통담당관,,NOT_PUBLICLY_VERIFIABLE
인천 청년정책 공모전,청년정책담당관,청년정책담당관,인천 청년정책 공모전,EXACT
인천 청년공간 유유기지 운영,청년정책담당관,청년정책담당관,인천 청년공간 유유기지 운영,EXACT
인천유스톡톡 인천청년포털,,청년정책담당관,,NOT_PUBLICLY_VERIFIABLE
청년재단 설립 및 청년기금 조성 타당성 연구,청년정책담당관,청년정책담당관,청년재단 설립 및 청년기금 조성 타당성 연구,EXACT
