"signal_id","strategic_industry","problem_type","industry","occupation_or_function","geography","period","value","unit","population_definition","source_url","evidence_grade","proxy_limit","sustained_or_spike"
"D-106","바이오","인력","바이오","바이오공정 전반","연수구 송도","사업계획 서술 시점","60여개사","기업수","송도국제도시 바이오산업체(바이오 벤처 포함)","http://knibrt.com/education/edu0402.php","D","사업주체의 사업 정당화 문서 내 서술. 기업당 수요 인원 미제시","SUSTAINED"
"D-107","바이오","판로/인력/자금 복합","벤처기업 전반","해당없음","인천광역시","2022→2023","악화","정성 추세","국내 벤처기업 반복 애로사항","https://www.ii.re.kr/base/search/total?searchType=ALL&searchWord=%EB%B0%94%EC%9D%B4%EC%98%A4%EC%82%B0%EC%97%85,+&menuLevel=1&menuNo=39","B","바이오 전용이 아닌 벤처 전체 기준. 성장기 기업 지원사업 부족은 별도 검증 필요","SUSTAINED"
"D-108","바이오","산업규모(맥락지표)","바이오","해당없음","인천광역시","2023 보도 시점","생산액 3조9,724억 / 전국 18.9% / 종사자 5,931명 / 투자액 6,086억","복합","인천 바이오산업","https://www.kyeonggi.com/article/20231006580065","C","수요 신호가 아니라 규모 지표. 부족·병목 근거로 직접 사용 불가. 시점도 오래됨","SUSTAINED"
"D-109","바이오","인력-공급실적","바이오","바이오공정","연수구 송도","2023 시점","881","누적 교육생(명)","K-NIBRT 국내 교육생 배출 누계","https://www.kyeonggi.com/article/20230913580034","C","공급 실적이지 수요가 아님. 목표 연2,000명 대비 격차 해석 시 시점 불일치 주의","SPIKE"
"D-110","바이오+디지털데이터","정책유행 경보","바이오+양자","해당없음","인천광역시","2026 신규편성","2.7","억원","양자바이오 센싱솔루션 실증·컨설팅","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","A","기업 수요 출발 근거 미확인. 시의회가 '사업 타당성·기업 수요에 대한 구체적 설명 필요'로 지적","POLICY_TREND"
"D-201","반도체","산업규모(맥락지표)","시스템반도체","해당없음","인천광역시","전년 기준","수출액 178억달러 / 시 전체 수출품목 1위 / 이 중 98%가 시스템반도체","복합","인천 반도체 수출","https://news.nate.com/view/20260311n24470","C","수출 강세 지표이지 병목 신호가 아님. 강점 논거로만 사용","SUSTAINED"
"D-202","반도체","산업구조-밸류체인 결손","시스템반도체 설계(팹리스)","설계인력","인천광역시","2026","정성","서술","인천 소재 팹리스 기업","https://www.tookyung.com/news/articleView.html?idxno=702069","C","'인천 산업의 약점으로 지적돼 온'이라는 서술만 존재. 팹리스 기업수·설계인력 정량치 미확보. 강한 신호이나 근거 등급 낮음","SUSTAINED"
"D-203","반도체","기술","반도체 후공정 소부장","해당없음","인천광역시","2026","정성","서술","OSAT 후방 중소기업","https://news.nate.com/view/20260311n24470","C","'대기업 수요기술을 중소기업이 개발'이라는 사업 설계 서술에서 역산한 수요. 기업 실태조사 근거 아님","SUSTAINED"
"D-204","반도체","산업위상(맥락지표)","시스템반도체","해당없음","인천광역시","전년 기준","약 36","%(국내 시스템반도체 수출 비중)","전국 대비 인천 비중","https://news.nate.com/view/20260311n24470","C","산정 기준 원문 미확인","SUSTAINED"
"D-301","로봇","시설-공급과잉 위험","로봇","해당없음","서해구 청라","2025-12 지정","전체 76만9,281㎡ 중 29만7,000㎡ 산단 지정","면적","인천 로봇랜드","https://www.incheonilbo.com/news/articleView.html?idxno=1327572","C","수요 신호가 아니라 공급 지표. 분양 실적이 나와야 수요 판정 가능. 미분양이면 역방향 신호","SPIKE"
"D-302","로봇","수요조사 노후화","로봇","해당없음","서해구 청라","2023 실시","정성","서술","iH 로봇랜드 기업 수요조사","https://www.incheonilbo.com/news/articleView.html?idxno=1327572","C","iH가 2023년 조사를 '보완' 중이라는 서술. 3년 경과한 수요조사로 산단계획을 운영 중이라는 뜻이며 그 자체가 데이터 공백 신호","SUSTAINED"
"D-303","로봇","기술-공정도입","로봇 활용 제조","해당없음","인천광역시","2026","기업당 최대 5,000만원","지원한도","인천 중소·중견 제조기업","https://www.govmatch.kr/announcements/84962","C","지원한도이지 수요량이 아님. 신청기업수·경쟁률을 확보해야 수요 강도 판정 가능","SPIKE"
"D-401","디지털데이터","정책유행 경보","양자기술","해당없음","인천광역시","2026","19억9,300만원 투입","예산","양자클러스터 지정 도전","https://www.newsfreezone.co.kr/news/articleView.html?idxno=680061","C","정부 지정 여부에 따라 5년간 최대 1,000억이 걸린 하이리스크 사업. 지역 양자기업 수요 근거 미확인","POLICY_TREND"
"D-402","디지털데이터","집행지연","양자기술","해당없음","인천광역시","2026","명시이월","집행상태","양자산업 발전전략 수립 및 클러스터 조성 연구용역","https://record.icouncil.go.kr/vod/viewer.do?cvUid=3723","A","전략 수립 용역이 명시이월된 상태에서 실증사업 예산이 먼저 편성됨. 순서 역전 가능성","SPIKE"
"D-501","미래차","데이터 공백","미래차","해당없음","인천광역시","2026","조사 실패","해당없음","해당없음","https://www.kyeonggi.com/article/20231006580065","D","6대 산업 중 유일하게 수요 신호를 하나도 확보하지 못함. 부품기업 전환 수요, 자율주행 실증 수요 모두 미확인. 반대가설: 인천 미래차 정책 자체가 소극적이라 공개자료가 적을 수 있음","UNKNOWN"
"D-601","항공","인력","항공정비(MRO)","항공정비인력","영종구 운북지구","2031 준공 기준","2,000","상주 전문인력(명, 전망)","대한항공 MRO 클러스터 운영 시","https://biz.heraldcorp.com/article/10741457","C","실측이 아니라 사업자 전망치. 2031년 시점이므로 FORECAST로 취급해야 하며 현재 부족인원과 혼동 금지","FORECAST"
"D-602","항공","인력-교육수요","항공정비(MRO)","청년 미취업자","영종구","2026 하반기","20명 선발(모집기간 1개월)","교육생수","영종구 관내 미취업 청년","https://www.addnewsin.com/news/articleView.html?idxno=60745","C","선발 20명은 확정치이나 지원자수 미공개라 경쟁률로 수요 강도를 볼 수 없음. 지원자수가 핵심","SPIKE"
"D-603","항공","교육-취업 연계 격차","항공정비(MRO)","청년","영종구","2026","정성","서술","상반기 자격취득 교육 → 하반기 현장실습으로 전환","https://www.addnewsin.com/news/articleView.html?idxno=60745","C","상반기 자격 중심 교육만으로는 취업 연계가 부족했다는 사실상의 자인. 상반기 수료생 취업률이 확보되면 강한 근거가 됨","SPIKE"
"D-604","항공","물류-접근성","드론","해당없음","옹진군 도서지역","2026","6억8,000만원","예산","덕적도·대이작도 등 교통 접근성 낮은 섬","https://www.newsfreezone.co.kr/news/articleView.html?idxno=680061","C","투입 예산이지 수요량이 아님. 도서 물류 결손량 지표 별도 필요","SUSTAINED"
"D-310","로봇","산업규모(맥락지표)","로봇","해당없음","인천광역시","2025년 실태조사 기준","239","기업수(전국의 9.5%)","인천 소재 로봇기업","https://www.irobotnews.com/news/articleView.html?idxno=47250","C","기업수이지 인력 수요 인원 미제시. 통제 어휘에 로봇 직무 없음. 출처인 '2025년 인천로봇산업 실태조사 보고서' 원문이 공개되지 않아 조사 모집단·기준연도·로봇기업 정의를 검증 불가. 2026-07-03과 2026-07-19 두 보도에 반복 등장하나 출처는 동일 조사 1건이므로 반복 확인으로 오독 금지","SUSTAINED"
"D-311","로봇","산업규모(맥락지표)","로봇","해당없음","인천광역시","2025년 실태조사 기준","약 1조5000억원(전국의 24.4%)","매출액","인천 소재 로봇기업 239개사 합계","https://www.irobotnews.com/news/articleView.html?idxno=47250","C","매출 강세 지표이지 병목·수요 신호가 아님. 기업수 비중 9.5% 대비 매출 비중 24.4%는 소수 대기업 편중 가능성을 시사하나 상위 기업 집중도가 공개되지 않아 확인 불가. 종사자수는 이 조사에서 함께 공개되지 않아 매출 대비 고용 강도 산출 불가","SUSTAINED"
"D-312","로봇","정책공급 규모","로봇","해당없음","인천광역시","2026","22억원 / 34개 기업·기관","예산·지원대상수","인천 로봇산업 혁신성장 지원사업 수혜 기업·기관(사업화 9개사, 스타트업 4개사, 로봇도입 4개사, 판로개척 11개사 등)","https://www.irobotnews.com/news/articleView.html?idxno=45683","C","공급(지원) 규모이지 수요가 아님. 34개사는 인천 로봇기업 239개사(D-310)의 약 14%에 해당하나 신청기업수가 공개되지 않아 경쟁률로 수요 강도를 판정할 수 없음. 22억원 중 인력양성 배분액이 별도 제시되지 않았고 전년도 집행 실적도 기사에 없음","SPIKE"
"D-313","로봇","기술-공정도입","로봇 활용 제조","해당없음","인천광역시","2026-05-08~2026-06-05 접수","4개사 내외 선정 / 기업당 최대 5000만원","선정기업수·지원한도","로봇 도입 수요가 있는 인천 소재 중소·중견 제조기업(로봇 공급기업과 컨소시엄 구성 필수)","https://www.irobotnews.com/news/articleView.html?idxno=46330","C","D-303의 지원한도에 선정규모를 보탠 값. 선정 예정 수이지 신청 수가 아니며 신청기업수·경쟁률 미공개. 4개사는 인천 제조업 모집단 대비 극소수라 사업 존재만으로 수요 규모를 추정할 수 없음. 컨소시엄 의무 조항이 자기선택 표본을 더 좁혀 미신청 수요를 구조적으로 누락시킴","SPIKE"
"D-314","로봇","시설-공급과잉 위험","로봇","해당없음","서해구 청라","2030 목표","400여개(로봇기업 및 시험·인증·연구기관)","집적 목표 기관수","인천로봇랜드 산업클러스터 입주 목표","https://www.ngonews.kr/news/articleView.html?idxno=217183","C","목표치이지 실측이 아니며 기업과 기관이 합산돼 순수 기업 목표를 분리할 수 없음. 인천 전체 로봇기업이 239개사(D-310)인데 로봇랜드 한 곳의 집적 목표가 400여개다. 달성하려면 인천 로봇기업 전부의 이전 또는 대규모 역외 유치가 필요한데 그 근거는 제시되지 않았다. 수요 신호가 아니라 목표 설정의 근거 결손 신호로 읽어야 함","POLICY_TREND"
"D-315","로봇","시설-이용실적","로봇","해당없음","서해구 청라","2025-09-17 등록","67","입주 계약 건수","인천 로봇산업진흥시설(로봇타워·로봇R&D센터) 입주 계약","https://www.data.go.kr/data/15121429/fileData.do","A","공공데이터 원자료이나 컬럼이 연번·소재지·면적·계약자·사용면적·사용목적·사용기간이라 67행은 계약 건수이며 동일 계약자 중복 제거 후 실기업수는 별도 확인 필요. 시설 이용 실적이지 인력 수요가 아님. 총 임대가능면적이 제시되지 않아 입주율·공실률 산출 불가. 기준일자 표기가 없고 등록일(2025-09-17)만 존재해 시점 해석 주의","SUSTAINED"
"D-316","로봇","기술-공정도입(수요강도)","로봇 활용 제조","해당없음","남동구 남동국가산업단지","2026-07-30","정원 40여명 → 90~100명으로 확대","설명회 참가인원","남동국가산업단지 및 인천 지역 중소제조기업 대표자·임직원","https://www.kyeongin.com/article/1768180","C","정원 2배 초과 신청은 인천에서 확인된 가장 직접적인 기업발 수요 신호다. 다만 (1)설명회 참석과 무료 진단 신청은 관심 표명이지 구매·투자 확정이 아니고 (2)참가자수이지 기업수가 아니며 (3)민간기업(마음AI) 공동주최라 영업 목적 동원 가능성을 배제할 수 없다. 결정적으로 이는 로봇 '도입' 수요이지 로봇 '인력' 수요가 아니고 인력난을 로봇으로 대체하려는 동기이므로 고용 수요와는 역방향이다","SPIKE"
"D-317","로봇","인력난(로봇 도입 유인)","기계·금속 등 중소제조업","해당없음","남동구 남동국가산업단지","2026-07-30","정성","서술","남동산단 중소제조기업의 기술직·경력직 및 외국인 노동자","https://www.kyeongin.com/article/1768180","C","'기술자도 외국인 노동자도 구하기 어렵다', '사출·조립 공정 등 현장 핵심 인력과 경력직 수급이 특히 어렵다'(㈜알리 유길상 상무이사)는 기업 발언만 존재하고 부족인원·인력부족률 수치가 없다. 기사에 인용된 통계 출처도 없어 정성 서술 이상으로 격상 불가. 통제 어휘에 로봇·제조기술직 직무가 없어 occupation 기권. 이 인력난은 로봇산업의 인력 수요가 아니라 로봇 도입의 동기이므로 방향을 혼동하면 안 됨","SUSTAINED"
"D-318","로봇","수요신호 부재(역방향 근거)","로봇","해당없음","연수구 송도","2026-05-20","인력·채용 애로 미제기","간담회 의제 구성","인천 로봇기업 8개사(SPG·나우로보틱스·브릴스·테솔로·로보웍스·TPC메카트로닉스·유진로봇·유일로보틱스) 등 20여명","https://www.irobotnews.com/news/articleView.html?idxno=46484","C","인천시·한국로봇산업진흥원 주최 간담회에서 기업이 제기한 애로는 인증·실증 소요기간(ISO 10218-1 등 해외인증 1년 이상, CE·UL 인증 수억원), 중국산 저가부품 대비 국산화, 하드웨어 편중에 따른 소프트웨어 지원 부족, 휴머노이드 수요처(레퍼런스) 부재였고 인력·채용 애로는 목록에 없었다. 참석 8개사는 자기선택 표본이고 간담회 의제가 사전 조율됐을 수 있어 '인력 애로가 없다'로 단정 불가. 다만 인천 대표 로봇기업이 모인 자리에서 인력이 의제가 아니었다는 사실은 기업발 인력 수요 신호 부재를 지지하는 반대증거로 사용 가능","SUSTAINED"
"D-319","로봇","정책유행 경보","로봇","해당없음","연수구 송도","2026-07-02~2026-07-05","45개국 364개팀 3919명 참가 / 방문객 2만4238명 / 로봇기업 약 40개사 참여","행사규모","로보컵 2026 인천 대회","https://www.getnews.co.kr/news/articleView.html?idxno=874363","C","국제행사 동원 규모이지 산업 수요 지표가 아님. 참여 로봇기업 약 40개사도 전시 참여이며 계약·수주·채용·투자 성과는 공개되지 않았다. 개최 예산과 지역 로봇기업 수주액이 없으면 비용 대비 효과 판정 불가. 인재 관련 서술은 '국제 협업 경험과 현장 문제 해결 능력을 키웠다'는 정성 표현뿐","SPIKE"
"D-320","로봇","공급-집행 리스크","로봇","해당없음","서해구 청라","2025-08 보도 시점","토사 약 2만㎥ 1년 이상 방치 / 반출비 7~8천만원 → 최대 약 8억원","공사 지장물","인천로봇랜드 커넥티카 인증평가센터 터파기 발생 토사","https://www.joongboo.com/news/articleView.html?idxno=363700365","C","수요 신호가 아니라 공급 일정 리스크. 2026년 말 산업시설용지 공급 목표(D-323)의 실현 가능성에 대한 반대증거이나 실제 준공 지연 일수는 미확인. 반출비 10배 증액은 사업비 압박 지표이지 기업 수요와 무관. 2026-08 현재 반출 완료 여부 후속 보도 미확보","SPIKE"
"D-321","로봇","인력-공급실적","로봇","SW·AI","인천광역시","2025-12-29 시작","5주 과정 / 멘토링 6회 12시간","교육과정 규모","인천대 바이오-로봇시스템공학과·전기공학과 재학생","https://www.inu.ac.kr/inu/13580/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGaW51JTJGMjU5NCUyRjQxNzE1OSUyRmFydGNsVmlldy5kbyUzRg%3D%3D","D","대학 자체 보도자료(사업주체의 사업 정당화 문서). 공급(교육) 실적이며 그마저 양성 목표 인원·수료 인원·예산·사업기간이 모두 미기재라 규모를 알 수 없다. 협력기업이 ㈜유일로보틱스 1개사뿐이라 지역 로봇기업 수요의 대표성 없음. 강화학습·로봇비전·시뮬레이션 교육 내용을 근거로 SW·AI로 분류했으나 통제 어휘에 로봇 직무가 없어 근사한 것이며 로봇 하드웨어·제어·정비 직무는 담기지 않음","SPIKE"
"D-322","로봇","데이터 공백","로봇","해당없음","전국(인천 미분해)","2024-12-31 기준","사업체 2509개사 / 종사자 3만4649명 / 수도권 1424개사(56.8%)","사업체수·종사자수","국내 로봇사업체 전수(정부승인통계 로봇산업 실태조사)","https://www.irobotnews.com/news/articleView.html?idxno=44544","A","정부승인통계(산업통상자원부·한국로봇산업진흥원)이나 원보고서를 확보하지 못해 언론 요약을 경유했다. 공개 범위가 권역별(수도권 1424개사)까지여서 인천 몫으로 분해 불가. 종사자 3만4649명은 재직 인원이지 부족인원이 아니며 인력부족률·부족인원은 요약에 없다. 인천 로봇 인력 수요를 이 통계로 산출할 수 없다는 것이 이 행의 요점","SUSTAINED"
"D-323","로봇","시설-유인강도(역방향)","로봇","해당없음","서해구 청라","2026년 말 공급 목표","수도권 도시첨단산업단지 대비 40~50% 저렴 / 취득세 75% 감면","분양 유인조건","인천로봇랜드 산업시설용지 입주 예정 기업","https://www.hankookilbo.com/News/Read/A2025120709540004681","C","가격·세제 유인이지 수요 실적이 아님. 인근 대비 40~50% 할인과 취득세 75% 감면을 걸어야 한다는 사실 자체가 자연 수요의 약함을 시사할 수 있으나 산단 분양의 통상적 인센티브 수준과 비교하지 않으면 단정 불가. 평당 분양가 절대액은 이 기사에 없어 미확인으로 남김. 분양 신청·계약 실적이 나와야 수요 판정 가능한데 2026-08 현재 첫 분양공고(2026-12 예정)조차 미실시","POLICY_TREND"
"D-324","로봇","인력-공급실적(정책유행)","로봇","해당없음","인천광역시","2026","200","연간 교육생 목표(명)","인천 관내 초등학생(청소년 창작 로봇교실)","https://www.irobotnews.com/news/articleView.html?idxno=45683","C","인천시 로봇산업 혁신성장 지원사업 22억원(D-312)에서 확인 가능한 유일한 인력 관련 정량 목표가 초등학생 로봇교실 200명이다. 취업 연계 인력양성이 아니라 저변 확대 사업이므로 기업 인력 수요와 무관. 다른 보도의 상반기 5개 과정 각 25명(=125명) 구성과 연간 200명이 정합하지 않아 배분 내역은 미확정. 지원자수 미공개로 경쟁률도 알 수 없음","POLICY_TREND"
"D-340","항공","인력-채용실적","항공정비(MRO)","해당없음","영종구(인천국제공항)","2026년 연초 → 2026-08","연초 50여명 → 500여명 초과 / 내년 1,000명 초과 예상","채용인원(명)","인천공항 항공MRO 사업 관련 신규 채용 인력","https://www.hankyung.com/article/202608068768h","C","통제 어휘에 항공 직무 없음. 단일 언론기사가 전한 연내 추이라 고용보험 DB 등으로 교차검증 불가. '인천공항 MRO 사업'의 기업 범위(IKCS·대한항공·트리니티항공 등)가 불명확해 기업별 분해 불가. 다만 6대 산업을 통틀어 전망치가 아닌 실제 채용 실적이 확인된 드문 신호","SUSTAINED"
"D-341","항공","인력-공정소요","화물기 개조(P2F)","해당없음","영종구(인천국제공항 첨단복합항공단지)","2026-08","150","항공기 1대당 소요인력(명)","IKCS 보잉777 여객기→화물기 개조 1대 작업 투입 인력. 현재 3대 개조 계약 확보(전량 중국 화물항공사 인도 예정)","https://www.kyeongin.com/article/1768579","C","통제 어휘에 항공 직무 없음. 1대당 소요 인력이지 채용 계획 인원이 아님. 1대 개조에 약 5개월(2026-05 입고→10월 출고)이 걸리고 물량이 겹치므로 대수×150 단순 곱셈으로 총수요 환산 불가. 이스라엘 IAI 파견 기술자가 포함돼 있어 지역 채용분과 구분 불가","SPIKE"
"D-342","항공","물량-생산목표","화물기 개조(P2F)","해당없음","영종구(인천국제공항 첨단복합항공단지)","목표(연간)","매년 6~10대 목표 / 현재 계약 3대","개조 대수","IKCS·IAI 공동 화물기 개조사업 생산 목표","https://www.hankyung.com/article/202608068768h","C","사업자 목표치이며 실적이 아님. 확보 계약은 3대뿐이고 전량 중국 화물항공사향이라 대외 수요 변동에 취약. 물량 지표이지 인력 수요 지표가 아니며 D-341과 곱해 인력 수요를 만드는 것은 이중 추정","FORECAST"
"D-343","항공","인력-신규일자리 전망","항공엔진 정비","해당없음","영종구(영종도)","2027 완공 기준","정비물량 연 100대 → 360대 / 신규 일자리 1,000명 이상","복합(전망)","대한항공 신 엔진정비공장(약 14만㎡) 가동 시","https://www.m-i.kr/news/articleView.html?idxno=1339477","C","통제 어휘에 항공 직무 없음. 사업자·언론 전망치이며 실측 아님. 기존 D-601(대한항공 MRO 클러스터 2,000명, 2031년)과 시점·시설 범위가 달라 합산 금지. 동일 공장에 대해 경향신문은 엔진 88대→501대(2030)라는 다른 기준을 제시(D-344)해 어느 쪽도 원자료 미확인","FORECAST"
"D-344","항공","시설-투자","항공엔진 부품수리","해당없음","영종구 영종항공일반산단","2029 착공 / 2031 준공","1,500억원 / 5만692㎡ / 엔진 정비 88대(현재) → 501대(2030)","복합","대한항공 항공기 엔진 부품수리 공장(별도로 신엔진정비공장 5,800억원 2026년말 준공 예정)","https://www.khan.co.kr/article/202605201125001","C","투자·면적 지표이지 인력 수요가 아님. 엔진 88대→501대는 D-343의 100대→360대와 상충하며 기준연도·산정범위 원자료 모두 미확인. 인천경제청 발표를 언론이 전달한 것이라 유치 성과 홍보 편향 가능","FORECAST"
"D-345","항공","인력-모수","항공정비(MRO)","해당없음","전국(인천 미분해)","2021-12-31 기준","12개사 6,000여명 / 이 중 4,500여명이 대한항공·아시아나","정비인력(명)","국내 국적항공사 MRO 정비인력","https://www.ii.re.kr/base/board/read?boardManagementNo=15&boardNo=15954&menuLevel=2&menuNo=77","B","통제 어휘에 항공 직무 없음. 전국·국적항공사 기준이라 인천분 분해 불가하고 독립 MRO·항공부품 제조업체는 아예 모수에서 빠짐. 기준시점 2021년말로 5년 경과. 현원 지표이지 부족인원이 아니며 부족인원 산출에 쓰려면 별도 수요 추정이 필요","SUSTAINED"
"D-346","항공","인력-수요전망","항공정비(MRO)","해당없음","영종구(인천공항 첨단복합항공단지)","2027 전망","직접고용 2,500개(이 중 항공MRO 2,000명) / '2027년까지 최소 2,000명 전문인력 필요'","일자리(개)·필요인력(명, 전망)","첨단복합항공단지 시설 본격 가동 시","https://www.incheontoday.com/news/articleView.html?idxno=301068","C","인천연구원 인용이나 원보고서명·산출식 미확인. 시설 가동을 전제한 전망치라 준공 지연 시 무효. 기업이 제출한 채용계획이 아니라 연구원 추정치이며, D-340의 실제 채용 실적과 산출 계열이 달라 합산 금지","FORECAST"
"D-347","항공","기업수요-진출의향","항공부품 제조","해당없음","인천광역시","2026 조사","150개사 중 115개사(76.7%) 진출 의향","기업수(비율)","인천시·인천테크노파크 '인천 항공산업 진출 희망기업 심층조사' 대상 제조기업","https://www.kyeongin.com/article/1763300","C","판로·업종 진출 의향이지 인력 수요가 아님. 조사명이 '진출 희망기업'이라 표본 자체가 관심 기업 자기선택 표본이며 76.7%를 인천 제조업 전체로 일반화 불가. 실제 준비·검토 경험 기업은 절반 수준에 그침. 조사 원문 미확보로 문항·모집단 정의 확인 불가","SPIKE"
"D-348","항공","산업기반-결손","항공제조·항공정비","해당없음","인천광역시","2018 게시(원자료 '인천시 항공산업 정책 방향 연구')","인천 항공제조업 10개사 / 항공운송업 43개사 / 전국 항공정비업 36개사 / 지역 제조업체 500개 중 21개사(4.2%)만 항공제품 생산, 미진출 479개사 중 155개사(32.4%) 향후 활용 가능 응답","복합(기업수)","인천 소재 항공산업 사업체 및 조사대상 지역 제조업체","https://www.ii.re.kr/base/board/read?boardManagementNo=18&boardNo=1247&menuLevel=2&menuNo=79","B","2018년 게시 자료로 8년 경과해 현재 수요 근거로 직접 사용 불가. 항공제조업 10개사는 공급기반 결손 지표이지 인력 수요가 아님. 다만 실제 진출률 4.2%와 D-347의 진출 의향 76.7% 사이의 격차가 핵심 — 의향은 많고 실행은 적다는 해석이 가능하나 두 조사의 모집단이 달라 직접 비교는 부적절","SUSTAINED"
"D-349","항공","시설-공급","항공정비(MRO)","해당없음","영종구(인천공항 첨단복합항공단지)","2026-08 시점 / 2032 유치 목표","약 235만㎡ / 앵커기업 3곳(IKCS·트리니티항공·대한항공) 유치 완료","면적·기업수","인천공항 첨단복합항공단지 부지 및 유치 기업","https://www.viva100.com/article/20260806501067","C","공급(부지·유치) 지표이지 수요가 아님. 235만㎡ 대비 앵커 3곳으로 잔여 부지의 실수요는 미확인이며 2032년까지 유치 계획이라 미달 시 역방향 신호. D-301(로봇랜드 산단)과 같은 공급 과잉 위험 유형","SUSTAINED"
"D-350","항공","정책유행 경보","항공 전반(MRO·UAM·드론·우주방산)","해당없음","인천광역시","2025~2029","5대 전략 18개 실행과제","계획 구조","인천시 '항공산업 육성 기본계획(2025~2029)'","https://www.ngonews.kr/news/articleView.html?idxno=205813","C","총 투입예산·목표 일자리 수·기업 수요조사 근거가 기사에 전혀 없음. MRO·UAM·드론·우주방산을 한 계획에 묶은 백화점식 구성이라 어느 축이 기업 수요에 기반했는지 분해 불가. 계획 원문 미확보","POLICY_TREND"
"D-351","항공","정책유행 경보","UAM(도심항공교통)","해당없음","영종구 거잠포~옹진군 도서지역","2026 공모 / 2028 상용화 목표","거잠포→무의도 약 7분 / 자월도 약 20분 / 덕적도 약 50분","예상 운항시간(분)","인천시 UAM 시범운용구역 공모 구상 노선","https://news.ifm.kr/news/articleView.html?idxno=475135","C","운항시간 구상치일 뿐 수요량이 아님. 예산·기체 수·참여 기업 수가 모두 미공개이고 인천 소재 UAM 관련 기업 수나 기업 수요 근거는 기사에 전혀 없음. 정부 공모 일정에서 파생된 신호이며 공모 탈락 시 소멸. D-604(옹진 도서 드론 물류)와 대상 지역이 겹쳐 수요 이중계상 위험","POLICY_TREND"
